Building,Date,ExpId,SSID,Addr,RSSI
rdc,25_05_2021,0,telephone,3890a5505382,-68
rdc,25_05_2021,0,eduroam,3890a5505381,-71
rdc,25_05_2021,0,uha,3890a5505380,-72
rdc,25_05_2021,0,telephone,3890a54ca362,-75
rdc,25_05_2021,0,uha,3890a54ca360,-76
rdc,25_05_2021,0,eduroam,3890a54ca361,-76
rdc,25_05_2021,0,P.H. EST PARMI NOUS,6ec7ece83154,-76
rdc,25_05_2021,0,telephone,3890a5600b42,-84
rdc,25_05_2021,0,uha,3890a5600b40,-85
rdc,25_05_2021,0,eduroam,3890a5600b41,-85
rdc,25_05_2021,0,uha,3890a5503e60,-86
rdc,25_05_2021,0,telephone,3890a5503e62,-86
rdc,25_05_2021,0,eduroam,3890a5503e61,-87
rdc,25_05_2021,0,uha,3890a5505380,-70
rdc,25_05_2021,0,eduroam,3890a5505381,-71
rdc,25_05_2021,0,telephone,3890a5505382,-71
rdc,25_05_2021,0,telephone,3890a54ca362,-74
rdc,25_05_2021,0,uha,3890a54ca360,-75
rdc,25_05_2021,0,eduroam,3890a54ca361,-75
rdc,25_05_2021,0,P.H. EST PARMI NOUS,6ec7ece83154,-75
rdc,25_05_2021,0,telephone,3890a5600b42,-84
rdc,25_05_2021,0,uha,3890a5600b40,-85
rdc,25_05_2021,0,eduroam,3890a5600b41,-85
rdc,25_05_2021,0,eduroam,3890a5503e61,-86
rdc,25_05_2021,0,uha,3890a5503e60,-86
rdc,25_05_2021,0,telephone,3890a5503e62,-86
rdc,25_05_2021,0.1,uha,3890a54ca360,-67
rdc,25_05_2021,0.1,eduroam,3890a54ca361,-68
rdc,25_05_2021,0.1,telephone,3890a54ca362,-68
rdc,25_05_2021,0.1,P.H. EST PARMI NOUS,6ec7ece83154,-70
rdc,25_05_2021,0.1,eduroam,3890a5503e61,-84
rdc,25_05_2021,0.1,eduroam,3890a5505381,-84
rdc,25_05_2021,0.1,telephone,3890a5505382,-84
rdc,25_05_2021,0.1,uha,3890a5505380,-84
rdc,25_05_2021,0.1,uha,3890a5503e60,-85
rdc,25_05_2021,0.1,telephone,3890a5503e62,-85
rdc,25_05_2021,0.1,eduroam,3890a5600b41,-88
rdc,25_05_2021,0.1,uha,3890a5600b40,-88
rdc,25_05_2021,0.1,telephone,3890a5600b42,-89
rdc,25_05_2021,0.1,eduroam,3890a5499de1,-93
rdc,25_05_2021,0.1,uha,3890a5499de0,-94
rdc,25_05_2021,0.1,telephone,3890a5499de2,-95
rdc,25_05_2021,0.1,eduroam,3890a549a1e1,-98
rdc,25_05_2021,0.1,uha,3890a54ca360,-68
rdc,25_05_2021,0.1,eduroam,3890a54ca361,-68
rdc,25_05_2021,0.1,telephone,3890a54ca362,-69
rdc,25_05_2021,0.1,P.H. EST PARMI NOUS,6ec7ece83154,-70
rdc,25_05_2021,0.1,eduroam,3890a5503e61,-84
rdc,25_05_2021,0.1,telephone,3890a5503e62,-84
rdc,25_05_2021,0.1,eduroam,3890a5505381,-84
rdc,25_05_2021,0.1,uha,3890a5505380,-84
rdc,25_05_2021,0.1,uha,3890a5600b40,-85
rdc,25_05_2021,0.1,uha,3890a5503e60,-85
rdc,25_05_2021,0.1,telephone,3890a5505382,-85
rdc,25_05_2021,0.1,eduroam,3890a5600b41,-86
rdc,25_05_2021,0.1,telephone,3890a5600b42,-87
rdc,25_05_2021,0.1,telephone,3890a5499de2,-92
rdc,25_05_2021,0.1,eduroam,3890a5499de1,-93
rdc,25_05_2021,0.1,uha,3890a5499de0,-95
rdc,25_05_2021,0.1,uha,3890a549a1e0,-96
rdc,25_05_2021,0.1,telephone,3890a549a1e2,-97
rdc,25_05_2021,0.1,eduroam,3890a549a1e1,-98
rdc,25_05_2021,0.1,eduroam,3890a54ca361,-67
