Building,Date,SSID,Addr,RSSI
25_05_2021,0.0,telephone,3890a5505382,-68.0
25_05_2021,0.0,eduroam,3890a5505381,-71.0
25_05_2021,0.0,uha,3890a5505380,-72.0
25_05_2021,0.0,telephone,3890a54ca362,-75.0
25_05_2021,0.0,uha,3890a54ca360,-76.0
25_05_2021,0.0,eduroam,3890a54ca361,-76.0
25_05_2021,0.0,P.H. EST PARMI NOUS,6ec7ece83154,-76.0
25_05_2021,0.0,telephone,3890a5600b42,-84.0
25_05_2021,0.0,uha,3890a5600b40,-85.0
25_05_2021,0.0,eduroam,3890a5600b41,-85.0
25_05_2021,0.0,uha,3890a5503e60,-86.0
25_05_2021,0.0,telephone,3890a5503e62,-86.0
25_05_2021,0.0,eduroam,3890a5503e61,-87.0
25_05_2021,0.0,uha,3890a5505380,-70.0
25_05_2021,0.0,eduroam,3890a5505381,-71.0
25_05_2021,0.0,telephone,3890a5505382,-71.0
25_05_2021,0.0,telephone,3890a54ca362,-74.0
25_05_2021,0.0,uha,3890a54ca360,-75.0
25_05_2021,0.0,eduroam,3890a54ca361,-75.0
25_05_2021,0.0,P.H. EST PARMI NOUS,6ec7ece83154,-75.0
25_05_2021,0.0,telephone,3890a5600b42,-84.0
25_05_2021,0.0,uha,3890a5600b40,-85.0
25_05_2021,0.0,eduroam,3890a5600b41,-85.0
25_05_2021,0.0,eduroam,3890a5503e61,-86.0
25_05_2021,0.0,uha,3890a5503e60,-86.0
25_05_2021,0.0,telephone,3890a5503e62,-86.0
25_05_2021,0.1,uha,3890a54ca360,-67.0
25_05_2021,0.1,eduroam,3890a54ca361,-68.0
25_05_2021,0.1,telephone,3890a54ca362,-68.0
25_05_2021,0.1,P.H. EST PARMI NOUS,6ec7ece83154,-70.0
25_05_2021,0.1,eduroam,3890a5503e61,-84.0
25_05_2021,0.1,eduroam,3890a5505381,-84.0
25_05_2021,0.1,telephone,3890a5505382,-84.0
25_05_2021,0.1,uha,3890a5505380,-84.0
25_05_2021,0.1,uha,3890a5503e60,-85.0
25_05_2021,0.1,telephone,3890a5503e62,-85.0
25_05_2021,0.1,eduroam,3890a5600b41,-88.0
25_05_2021,0.1,uha,3890a5600b40,-88.0
25_05_2021,0.1,telephone,3890a5600b42,-89.0
25_05_2021,0.1,eduroam,3890a5499de1,-93.0
25_05_2021,0.1,uha,3890a5499de0,-94.0
25_05_2021,0.1,telephone,3890a5499de2,-95.0
25_05_2021,0.1,eduroam,3890a549a1e1,-98.0
25_05_2021,0.1,uha,3890a54ca360,-68.0
25_05_2021,0.1,eduroam,3890a54ca361,-68.0
25_05_2021,0.1,telephone,3890a54ca362,-69.0
25_05_2021,0.1,P.H. EST PARMI NOUS,6ec7ece83154,-70.0
25_05_2021,0.1,eduroam,3890a5503e61,-84.0
25_05_2021,0.1,telephone,3890a5503e62,-84.0
25_05_2021,0.1,eduroam,3890a5505381,-84.0
25_05_2021,0.1,uha,3890a5505380,-84.0
25_05_2021,0.1,uha,3890a5600b40,-85.0
25_05_2021,0.1,uha,3890a5503e60,-85.0
